# Nv = 30, v_cut = 5
# v_x   f(v_x) = int f(v) dv_y dv_z
-4.83333	0.00750175
-4.5	0.0275106
-4.16667	0.064343
-3.83333	0.130442
-3.5	0.237414
-3.16667	0.397022
-2.83333	0.60566
-2.5	0.857236
-2.16667	1.12199
-1.83333	1.36841
-1.5	1.56059
-1.16667	1.69344
-0.833333	1.77462
-0.5	1.79801
-0.166667	1.81196
0.166667	1.8093
0.5	1.80056
0.833333	1.76756
1.16667	1.69727
1.5	1.56347
1.83333	1.37123
2.16667	1.12012
2.5	0.858173
2.83333	0.6063
3.16667	0.395095
3.5	0.23678
3.83333	0.130488
4.16667	0.064271
4.5	0.0274436
4.83333	0.00744714
