# Nv = 30, v_cut = 5
#0.996728	6.90707
# v_x   f(v_x) = int f(v) dv_y dv_z
-4.83333	0.000667067
-4.5	0.00256276
-4.16667	0.00577714
-3.83333	0.0112209
-3.5	0.0195202
-3.16667	0.0317514
-2.83333	0.0486675
-2.5	0.0709189
-2.16667	0.0980471
-1.83333	0.129264
-1.5	0.162349
-1.16667	0.194545
-0.833333	0.222419
-0.5	0.243167
-0.166667	0.254198
0.166667	0.254189
0.5	0.243195
0.833333	0.222419
1.16667	0.194574
1.5	0.162345
1.83333	0.129275
2.16667	0.0980392
2.5	0.0709169
2.83333	0.0486628
3.16667	0.0317503
3.5	0.0195184
3.83333	0.011219
4.16667	0.0057759
4.5	0.00256219
4.83333	0.000666822
